year,matchNumber,venue,home,homeCode,homeId,away,awayCode,awayId,link,result
1990,Match 29,Rome,Italy,ITA,43954,Czechoslovakia,TCH,44025,/worldcup/matches/round=322/match=263/index.html#nosticky,2-0
1990,Match 30,Florence,Austria,AUT,43934,USA,USA,43921,/worldcup/matches/round=322/match=48/index.html#nosticky,2-1
1990,Match 31,Turin,Brazil,BRA,43924,Scotland,SCO,43967,/worldcup/matches/round=322/match=74/index.html#nosticky,1-0
1990,Match 32,Genoa,Sweden,SWE,43970,Costa Rica,CRC,43901,/worldcup/matches/round=322/match=128/index.html#nosticky,1-2
1990,Match 34,Udine,Korea Republic,KOR,43822,Uruguay,URU,43930,/worldcup/matches/round=322/match=290/index.html#nosticky,0-1
1990,Match 33,Verona,Belgium,BEL,43935,Spain,ESP,43969,/worldcup/matches/round=322/match=56/index.html#nosticky,1-2
1990,Match 36,Palermo,Republic of Ireland,IRL,43953,Netherlands,NED,43960,/worldcup/matches/round=322/match=228/index.html#nosticky,1-1
1990,Match 35,Cagliari,England,ENG,43942,Egypt,EGY,43855,/worldcup/matches/round=322/match=150/index.html#nosticky,1-0
1990,Match 37,Naples,Cameroon,CMR,43849,Colombia,COL,43926,/worldcup/matches/round=323/match=102/index.html#nosticky,2-1
1990,Match 38,Bari,Czechoslovakia,TCH,44025,Costa Rica,CRC,43901,/worldcup/matches/round=323/match=129/index.html#nosticky,4-1
1990,Match 39,Turin,Brazil,BRA,43924,Argentina,ARG,43922,/worldcup/matches/round=323/match=25/index.html#nosticky,0-1
1990,Match 40,Milan,Germany FR,FRG,44023,Netherlands,NED,43960,/worldcup/matches/round=323/match=196/index.html#nosticky,2-1
1990,Match 41,Genoa,Republic of Ireland,IRL,43953,Romania,ROU,43964,/worldcup/matches/round=323/match=248/index.html#nosticky,0-0
1990,Match 42,Rome,Italy,ITA,43954,Uruguay,URU,43930,/worldcup/matches/round=323/match=264/index.html#nosticky,2-0
1990,Match 43,Verona,Spain,ESP,43969,Yugoslavia,YUG,43975,/worldcup/matches/round=323/match=181/index.html#nosticky,1-2
1990,Match 44,Bologna,England,ENG,43942,Belgium,BEL,43935,/worldcup/matches/round=323/match=55/index.html#nosticky,1-0
