year,match_id,team_id,type,player_id
1990,74,43967,SUBSTITUTE,174397
1990,74,43967,SUBSTITUTE,174561
1990,74,43967,SUBSTITUTE,174568
1990,74,43967,SUBSTITUTE,174513
1990,74,43967,SUBSTITUTE,174752
1990,74,43967,SUBSTITUTE,174703
1990,74,43967,SUBSTITUTE,95068
1990,74,43967,SUBSTITUTE,174746
1990,74,43967,SUBSTITUTE,174542
1990,74,43967,SUBSTITUTE,174583
2010,300061506,43928,STARTED,185338
2010,300061506,43928,STARTED,185341
2010,300061506,43928,STARTED,185429
2010,300061506,43928,STARTED,276119
2010,300061506,43928,STARTED,182624
2010,300061506,43928,STARTED,276118
2010,300061506,43928,STARTED,178278
2010,300061506,43928,STARTED,283757
2010,300061506,43928,STARTED,253460
2010,300061506,43928,STARTED,207707
2010,300061506,43928,STARTED,313535
2010,300061506,43969,STARTED,176644
2010,300061506,43969,STARTED,216973
2010,300061506,43969,STARTED,177914
2010,300061506,43969,STARTED,183857
2010,300061506,43969,STARTED,229884
2010,300061506,43969,STARTED,177855
2010,300061506,43969,STARTED,183864
2010,300061506,43969,STARTED,177907
2010,300061506,43969,STARTED,207528
2010,300061506,43969,STARTED,216814
2010,300061506,43969,STARTED,303034
2010,300061506,43928,SUBSTITUTE,181732
2010,300061506,43928,SUBSTITUTE,178051
2010,300061506,43928,SUBSTITUTE,162763
2010,300061506,43928,SUBSTITUTE,189334
2010,300061506,43928,SUBSTITUTE,189436
2010,300061506,43928,SUBSTITUTE,4039
2010,300061506,43928,SUBSTITUTE,302599
2010,300061506,43928,SUBSTITUTE,276117
2010,300061506,43928,SUBSTITUTE,209505
2010,300061506,43928,SUBSTITUTE,322704
2010,300061506,43928,SUBSTITUTE,316199
2010,300061506,43928,SUBSTITUTE,228509
2010,300061506,43969,SUBSTITUTE,217839
2010,300061506,43969,SUBSTITUTE,175413
2010,300061506,43969,SUBSTITUTE,216820
2010,300061506,43969,SUBSTITUTE,177846
2010,300061506,43969,SUBSTITUTE,200179
2010,300061506,43969,SUBSTITUTE,267811
2010,300061506,43969,SUBSTITUTE,297330
2010,300061506,43969,SUBSTITUTE,318601
2010,300061506,43969,SUBSTITUTE,233029
2010,300061506,43969,SUBSTITUTE,270714
2010,300061506,43969,SUBSTITUTE,200176
2010,300061506,43969,SUBSTITUTE,232978
1934,1119,43950,STARTED,58646
1934,1119,43950,STARTED,58647
1934,1119,43950,STARTED,53662
1934,1119,43950,STARTED,55849
1934,1119,43950,STARTED,58428
1934,1119,43950,STARTED,49662
1934,1119,43950,STARTED,174696
1934,1119,43950,STARTED,58678
1934,1119,43950,STARTED,58843
1934,1119,43950,STARTED,59017
1934,1119,43950,STARTED,59658
1934,1119,43855,STARTED,198087
1934,1119,43855,STARTED,292018
1934,1119,43855,STARTED,292019
1934,1119,43855,STARTED,292020
1934,1119,43855,STARTED,181860
1934,1119,43855,STARTED,181862
1934,1119,43855,STARTED,48943
1934,1119,43855,STARTED,49294
1934,1119,43855,STARTED,52788
1934,1119,43855,STARTED,56578
1934,1119,43855,STARTED,56591
1934,1119,43950,SUBSTITUTE,69533
1934,1119,43950,SUBSTITUTE,174404
1934,1119,43950,SUBSTITUTE,59316
1934,1119,43950,SUBSTITUTE,58734
1934,1119,43950,SUBSTITUTE,174871
1934,1119,43950,SUBSTITUTE,314179
1934,1119,43950,SUBSTITUTE,50422
1934,1119,43950,SUBSTITUTE,52028
1934,1119,43950,SUBSTITUTE,44605
1934,1119,43950,SUBSTITUTE,45939
1934,1119,43950,SUBSTITUTE,58649
1934,1119,43855,SUBSTITUTE,62377
1934,1119,43855,SUBSTITUTE,69536
1934,1119,43855,SUBSTITUTE,69545
1934,1119,43855,SUBSTITUTE,69546
1934,1119,43855,SUBSTITUTE,189531
1934,1119,43855,SUBSTITUTE,314593
1986,439,43969,STARTED,44789
1986,439,43969,STARTED,56808
1986,439,43969,STARTED,159896
1986,439,43969,STARTED,53341
1986,439,43969,STARTED,166470
1986,439,43969,STARTED,166547
1986,439,43969,STARTED,174442
1986,439,43969,STARTED,51698
1986,439,43969,STARTED,167167
1986,439,43969,STARTED,44594
1986,439,43969,STARTED,166466
1986,439,43924,STARTED,63623
1986,439,43924,STARTED,63624
1986,439,43924,STARTED,179502
1986,439,43924,STARTED,252326
1986,439,43924,STARTED,63629
1986,439,43924,STARTED,55528
1986,439,43924,STARTED,163090
1986,439,43924,STARTED,63521
1986,439,43924,STARTED,63517
1986,439,43924,STARTED,63627
1986,439,43924,STARTED,49035
1986,439,43969,SUBSTITUTE,166394
1986,439,43969,SUBSTITUTE,163644
1986,439,43969,SUBSTITUTE,47322
1986,439,43969,SUBSTITUTE,181140
1986,439,43969,SUBSTITUTE,59296
1986,439,43969,SUBSTITUTE,49718
1986,439,43969,SUBSTITUTE,63538
1986,439,43969,SUBSTITUTE,56901
1986,439,43969,SUBSTITUTE,159846
1986,439,43969,SUBSTITUTE,63581
1986,439,43969,SUBSTITUTE,174323
1986,439,43924,SUBSTITUTE,63648
1986,439,43924,SUBSTITUTE,63630
1986,439,43924,SUBSTITUTE,63524
1986,439,43924,SUBSTITUTE,63650
1986,439,43924,SUBSTITUTE,181090
1986,439,43924,SUBSTITUTE,69346
1986,439,43924,SUBSTITUTE,63548
1986,439,43924,SUBSTITUTE,168114
1986,439,43924,SUBSTITUTE,63526
1986,439,43924,SUBSTITUTE,63522
1986,439,43924,SUBSTITUTE,63902
1994,3061,43876,STARTED,57197
1994,3061,43876,STARTED,156906
1994,3061,43876,STARTED,77327
1994,3061,43876,STARTED,93444
1994,3061,43876,STARTED,55339
1994,3061,43876,STARTED,77322
1994,3061,43876,STARTED,60145
1994,3061,43876,STARTED,93859
1994,3061,43876,STARTED,57981
1994,3061,43876,STARTED,77319
1994,3061,43876,STARTED,106557
1994,3061,43936,STARTED,185202
1994,3061,43936,STARTED,95461
1994,3061,43936,STARTED,51338
1994,3061,43936,STARTED,81656
1994,3061,43936,STARTED,170745
1994,3061,43936,STARTED,76242
1994,3061,43936,STARTED,52406
1994,3061,43936,STARTED,58455
1994,3061,43936,STARTED,52856
1994,3061,43936,STARTED,81634
1994,3061,43936,STARTED,46120
1994,3061,43876,SUBSTITUTE,52063
1994,3061,43876,SUBSTITUTE,93860
1994,3061,43876,SUBSTITUTE,77328
1994,3061,43876,SUBSTITUTE,93414
1994,3061,43876,SUBSTITUTE,93421
1994,3061,43876,SUBSTITUTE,77325
1994,3061,43876,SUBSTITUTE,77320
1994,3061,43876,SUBSTITUTE,129920
1994,3061,43876,SUBSTITUTE,93385
1994,3061,43876,SUBSTITUTE,93446
1994,3061,43876,SUBSTITUTE,45041
1994,3061,43936,SUBSTITUTE,58105
1994,3061,43936,SUBSTITUTE,166562
1994,3061,43936,SUBSTITUTE,95443
1994,3061,43936,SUBSTITUTE,168221
1994,3061,43936,SUBSTITUTE,51217
1994,3061,43936,SUBSTITUTE,52236
1994,3061,43936,SUBSTITUTE,130317
1994,3061,43936,SUBSTITUTE,45381
1994,3061,43936,SUBSTITUTE,167606
1994,3061,43936,SUBSTITUTE,130322
1994,3061,43936,SUBSTITUTE,111324
1978,2220,43960,STARTED,44614
1978,2220,43960,STARTED,174874
1978,2220,43960,STARTED,174681
1978,2220,43960,STARTED,174635
1978,2220,43960,STARTED,59941
1978,2220,43960,STARTED,174586
1978,2220,43960,STARTED,44714
1978,2220,43960,STARTED,59385
1978,2220,43960,STARTED,44559
1978,2220,43960,STARTED,44560
1978,2220,43960,STARTED,174426
1978,2220,43934,STARTED,174674
1978,2220,43934,STARTED,57574
1978,2220,43934,STARTED,55413
1978,2220,43934,STARTED,46932
1978,2220,43934,STARTED,174856
1978,2220,43934,STARTED,61548
1978,2220,43934,STARTED,174881
1978,2220,43934,STARTED,52483
1978,2220,43934,STARTED,52509
1978,2220,43934,STARTED,51461
1978,2220,43934,STARTED,52511
1978,2220,43960,SUBSTITUTE,57719
1978,2220,43960,SUBSTITUTE,59424
1978,2220,43960,SUBSTITUTE,174643
1978,2220,43960,SUBSTITUTE,174796
1978,2220,43960,SUBSTITUTE,46820
1978,2220,43960,SUBSTITUTE,51037
1978,2220,43960,SUBSTITUTE,44567
1978,2220,43960,SUBSTITUTE,54939
1978,2220,43960,SUBSTITUTE,48644
1978,2220,43960,SUBSTITUTE,44678
1978,2220,43960,SUBSTITUTE,69711
1978,2220,43934,SUBSTITUTE,50700
1978,2220,43934,SUBSTITUTE,50597
1978,2220,43934,SUBSTITUTE,58479
1978,2220,43934,SUBSTITUTE,59852
1978,2220,43934,SUBSTITUTE,56157
1978,2220,43934,SUBSTITUTE,55410
1978,2220,43934,SUBSTITUTE,44607
1978,2220,43934,SUBSTITUTE,56325
1978,2220,43934,SUBSTITUTE,160339
1978,2220,43934,SUBSTITUTE,49634
1978,2220,43934,SUBSTITUTE,46322
1998,8787,43960,STARTED,113570
1998,8787,43960,STARTED,155677
1998,8787,43960,STARTED,77401
1998,8787,43960,STARTED,95134
1998,8787,43960,STARTED,77409
1998,8787,43960,STARTED,77376
1998,8787,43960,STARTED,155670
1998,8787,43960,STARTED,155676
1998,8787,43960,STARTED,161077
1998,8787,43960,STARTED,155685
1998,8787,43960,STARTED,160385
1998,8787,43938,STARTED,155697
1998,8787,43938,STARTED,159565
1998,8787,43938,STARTED,253567
1998,8787,43938,STARTED,155686
1998,8787,43938,STARTED,174882
1998,8787,43938,STARTED,155711
1998,8787,43938,STARTED,155688
1998,8787,43938,STARTED,159172
1998,8787,43938,STARTED,155708
1998,8787,43938,STARTED,174637
1998,8787,43938,STARTED,170478
1998,8787,43960,SUBSTITUTE,155675
1998,8787,43960,SUBSTITUTE,95564
1998,8787,43960,SUBSTITUTE,155673
1998,8787,43960,SUBSTITUTE,91967
1998,8787,43960,SUBSTITUTE,155661
1998,8787,43960,SUBSTITUTE,155681
1998,8787,43960,SUBSTITUTE,155667
1998,8787,43960,SUBSTITUTE,155679
1998,8787,43960,SUBSTITUTE,44759
