id,home_id,home,home_code,away_id,away,away_code,h_score,a_score,date,stadium,round,world_cup,year,host,reasonWin
1498,44025,Czechoslovakia,TCH,43969,Spain,ESP,1,0,31 May 1962 - 15:00 Local time,Estadio Sausalito,Group matches - Group 3,1962 FIFA World Cup Chile,1962,Chile,
120,43975,Yugoslavia,YUG,43926,Colombia,COL,1,0,14 Jun 1990 - 17:00 Local time,Renato Dall Ara,Group matches - Group D,1990 FIFA World Cup Italy,1990,Italy,
3082,43935,Belgium,BEL,43835,Saudi Arabia,KSA,0,1,29 Jun 1994 - 12:30 Local time,RFK Stadium,Group matches - Group F,1994 FIFA World Cup USA,1994,USA,
8764,43883,South Africa,RSA,43835,Saudi Arabia,KSA,2,2,24 Jun 1998 - 16:00 Local time,Stade du Parc Lescure,Group matches - Group C,1998 FIFA World Cup France,1998,France,
1953,43976,Australia,AUS,43925,Chile,CHI,0,0,22 Jun 1974 - 16:00 Local time,Olympiastadion,Group matches - Group 1,1974 FIFA World Cup Germany,1974,Germany FR,
97410030,43887,Togo,TOG,43971,Switzerland,SUI,0,2,19 Jun 2006 - 15:00 Local time,"FIFA World Cup Stadium, Dortmund",Group matches - Group G,2006 FIFA World Cup Germany,2006,Germany,
300186480,43822,Korea Republic,KOR,43935,Belgium,BEL,0,1,26 Jun 2014 - 17:00 Local time,Arena de Sao Paulo,First stage - Group H,2014 FIFA World Cup Brazil,2014,Brazil,
8733,43960,Netherlands,NED,43935,Belgium,BEL,0,0,13 Jun 1998 - 21:00 Local time,Stade de France,Group matches - Group E,1998 FIFA World Cup France,1998,France,
198,44023,Germany FR,FRG,43840,United Arab Emirates,UAE,5,1,15 Jun 1990 - 21:00 Local time,Giuseppe Meazza,Group matches - Group D,1990 FIFA World Cup Italy,1990,Italy,
43950032,43963,Portugal,POR,43962,Poland,POL,4,0,10 Jun 2002 - 20:30 Local time,Jeonju World Cup Stadium,Group matches - Group D,2002 FIFA World Cup Korea,2002,Korea,
1284,44023,Germany FR,FRG,43972,Turkey,TUR,7,2,23 Jun 1954 - 18:00 Local time,Hardturm,Group matches - Group 2,1954 FIFA World Cup Switzerland,1954,Switzerland,
161,43942,England,ENG,43953,Republic of Ireland,IRL,1,1,11 Jun 1990 - 21:00 Local time,Sant Elia,Group matches - Group F,1990 FIFA World Cup Italy,1990,Italy,
8725,43872,Morocco,MAR,43961,Norway,NOR,2,2,10 Jun 1998 - 21:00 Local time,La Mosson,Group matches - Group A,1998 FIFA World Cup France,1998,France,
43950024,43883,South Africa,RSA,43968,Slovenia,SVN,1,0,08 Jun 2002 - 15:30 Local time,Daegu World Cup Stadium,Group matches - Group B,2002 FIFA World Cup Korea,2002,Korea,
300331496,43817,IR Iran,IRN,43969,Spain,ESP,0,1,20 Jun 2018 - 21:00      Local time,Kazan Arena,"First stage - Group B,",2018 FIFA World Cup Russia,2018,Russia,
1768,43924,Brazil,BRA,43929,Peru,PER,4,2,14 Jun 1970 - 12:00 Local time,Jalisco,Quarter-finals,1970 FIFA World Cup Mexico,1970,Mexico,
248,43953,Republic of Ireland,IRL,43964,Romania,ROU,0,0,25 Jun 1990 - 17:00 Local time,Luigi Ferraris,Round of 16,1990 FIFA World Cup Italy,1990,Italy,win on penalties (5 - 4)
2451,43929,Peru,PER,43967,Scotland,SCO,3,1,03 Jun 1978 - 16:45 Local time,Estadio Olímpico Chateau Carreras,Group matches - Group 4,1978 FIFA World Cup Argentina,1978,Argentina,
8772,43922,Argentina,ARG,43938,Croatia,CRO,1,0,26 Jun 1998 - 16:00 Local time,Stade du Parc Lescure,Group matches - Group H,1998 FIFA World Cup France,1998,France,
300061459,43822,Korea Republic,KOR,43949,Greece,GRE,2,0,12 Jun 2010 - 13:30 Local time,Port Elizabeth Stadium,First stage - Group B,2010 FIFA World Cup South Africa,2010,South Africa,
1945,43922,Argentina,ARG,43924,Brazil,BRA,1,2,30 Jun 1974 - 16:00 Local time,Niedersachsenstadion,Second round - Group A,1974 FIFA World Cup Germany,1974,Germany FR,
300186479,43935,Belgium,BEL,43843,Algeria,ALG,2,1,17 Jun 2014 - 13:00 Local time,Estadio Mineirao,First stage - Group H,2014 FIFA World Cup Brazil,2014,Brazil,
97410026,43995,Czech Republic,CZE,43860,Ghana,GHA,0,2,17 Jun 2006 - 18:00 Local time,"FIFA World Cup Stadium, Cologne",Group matches - Group E,2006 FIFA World Cup Germany,2006,Germany,
300186496,43946,France,FRA,43909,Honduras,HON,3,0,15 Jun 2014 - 16:00 Local time,Estadio Beira-Rio,First stage - Group E,2014 FIFA World Cup Brazil,2014,Brazil,
43950008,43969,Spain,ESP,43968,Slovenia,SVN,3,1,02 Jun 2002 - 20:30 Local time,Gwangju World Cup Stadium,Group matches - Group B,2002 FIFA World Cup Korea,2002,Korea,
264,43954,Italy,ITA,43930,Uruguay,URU,2,0,25 Jun 1990 - 21:00 Local time,Stadio Olimpico,Round of 16,1990 FIFA World Cup Italy,1990,Italy,
771,43934,Austria,AUT,43952,Northern Ireland,NIR,2,2,01 Jul 1982 - 17:15 Local time,Vicente Calderon,Second round - Group 4,1982 FIFA World Cup Spain,1982,Spain,
300331510,43951,Iceland,ISL,43938,Croatia,CRO,1,2,26 Jun 2018 - 21:00      Local time,Rostov Arena,"First stage - Group D,",2018 FIFA World Cup Russia,2018,Russia,
2216,43934,Austria,AUT,43969,Spain,ESP,2,1,03 Jun 1978 - 13:45 Local time,Jose Amalfitani,Group matches - Group 3,1978 FIFA World Cup Argentina,1978,Argentina,
3057,43924,Brazil,BRA,43965,Russia,RUS,2,0,20 Jun 1994 - 16:00 Local time,Stanford Stadium,Group matches - Group B,1994 FIFA World Cup USA,1994,USA,
300061475,43849,Cameroon,CMR,43941,Denmark,DEN,1,2,19 Jun 2010 - 20:30 Local time,Loftus Versfeld Stadium,First stage - Group E,2010 FIFA World Cup South Africa,2010,South Africa,
1085,43922,Argentina,ARG,43946,France,FRA,1,0,15 Jul 1930 - 16:00 Local time,Parque Central,Group matches - Group 1,1930 FIFA World Cup Uruguay,1930,Uruguay,
42,43954,Italy,ITA,43934,Austria,AUT,1,0,09 Jun 1990 - 21:00 Local time,Stadio Olimpico,Group matches - Group A,1990 FIFA World Cup Italy,1990,Italy,
1986,43924,Brazil,BRA,43975,Yugoslavia,YUG,0,0,13 Jun 1974 - 17:00 Local time,Waldstadion,Group matches - Group 2,1974 FIFA World Cup Germany,1974,Germany FR,
1656,44023,Germany FR,FRG,43971,Switzerland,SUI,5,0,12 Jul 1966 - 19:30 Local time,Hillsborough,Group matches - Group 2,1966 FIFA World Cup England,1966,England,
1206,43970,Sweden,SWE,43969,Spain,ESP,3,1,16 Jul 1950 - 15:00 Local time,Pacaembu,Final round - Group 6,1950 FIFA World Cup Brazil,1950,Brazil,
300186510,43969,Spain,ESP,43960,Netherlands,NED,1,5,13 Jun 2014 - 16:00 Local time,Arena Fonte Nova,First stage - Group B,2014 FIFA World Cup Brazil,2014,Brazil,
300331547,43935,Belgium,BEL,43888,Tunisia,TUN,5,2,23 Jun 2018 - 15:00      Local time,Spartak Stadium,"First stage - Group G,",2018 FIFA World Cup Russia,2018,Russia,
1343,43924,Brazil,BRA,43970,Sweden,SWE,5,2,29 Jun 1958 - 15:00 Local time,Rasunda Stadium,Final,1958 FIFA World Cup Sweden,1958,Sweden,
300186455,43949,Greece,GRE,43854,Côte d'Ivoire,CIV,2,1,24 Jun 2014 - 17:00 Local time,Estadio Castelao,First stage - Group C,2014 FIFA World Cup Brazil,2014,Brazil,
300061463,43968,Slovenia,SVN,43921,USA,USA,2,2,18 Jun 2010 - 16:00 Local time,Ellis Park Stadium,First stage - Group C,2010 FIFA World Cup South Africa,2010,South Africa,
43950049,43948,Germany,GER,43928,Paraguay,PAR,1,0,15 Jun 2002 - 15:30 Local time,Jeju World Cup Stadium,Round of 16,2002 FIFA World Cup Korea,2002,Korea,
2200,43954,Italy,ITA,43922,Argentina,ARG,1,0,10 Jun 1978 - 19:15 Local time,El Monumental - Estadio Monumental Antonio Vespuci,Group matches - Group 1,1978 FIFA World Cup Argentina,1978,Argentina,
1990,43936,Bulgaria,BUL,43960,Netherlands,NED,1,4,23 Jun 1974 - 16:00 Local time,Westfalenstadion,Group matches - Group 3,1974 FIFA World Cup Germany,1974,Germany FR,
8748,43969,Spain,ESP,43928,Paraguay,PAR,0,0,19 Jun 1998 - 21:00 Local time,Stade Geoffroy Guichard,Group matches - Group D,1998 FIFA World Cup France,1998,France,
1093,43975,Yugoslavia,YUG,43924,Brazil,BRA,2,1,14 Jul 1930 - 12:45 Local time,Parque Central,Group matches - Group 2,1930 FIFA World Cup Uruguay,1930,Uruguay,
300111116,43948,Germany,GER,43976,Australia,AUS,4,0,13 Jun 2010 - 20:30 Local time,Durban Stadium,First stage - Group D,2010 FIFA World Cup South Africa,2010,South Africa,
3104,43924,Brazil,BRA,43954,Italy,ITA,0,0,17 Jul 1994 - 12:30 Local time,Rose Bowl,Final,1994 FIFA World Cup USA,1994,USA,win on penalties (3 - 2)
300186506,43843,Algeria,ALG,43965,Russia,RUS,1,1,26 Jun 2014 - 17:00 Local time,Arena da Baixada,First stage - Group H,2014 FIFA World Cup Brazil,2014,Brazil,
675,43963,Portugal,POR,43872,Morocco,MAR,1,3,11 Jun 1986 - 16:00 Local time,Tres de Marzo,Group matches - Group F,1986 FIFA World Cup Mexico,1986,Mexico,
300331551,43935,Belgium,BEL,43819,Japan,JPN,,,02 Jul 2018 - 21:00      Local time,Rostov Arena,"Round of 16,",2018 FIFA World Cup Russia,2018,Russia,
2083,43954,Italy,ITA,43908,Haiti,HAI,3,1,15 Jun 1974 - 18:00 Local time,Olympiastadion,Group matches - Group 4,1974 FIFA World Cup Germany,1974,Germany FR,
2129,43962,Poland,POL,43954,Italy,ITA,2,1,23 Jun 1974 - 16:00 Local time,Neckarstadion,Group matches - Group 4,1974 FIFA World Cup Germany,1974,Germany FR,
1882,43954,Italy,ITA,43911,Mexico,MEX,4,1,14 Jun 1970 - 12:00 Local time,Luis Dosal,Quarter-finals,1970 FIFA World Cup Mexico,1970,Mexico,
788,43954,Italy,ITA,43924,Brazil,BRA,3,2,05 Jul 1982 - 17:15 Local time,Sarria,Second round - Group 3,1982 FIFA World Cup Spain,1982,Spain,
300331506,43976,Australia,AUS,43929,Peru,PER,0,2,26 Jun 2018 - 17:00      Local time,Fisht Stadium,"First stage - Group C,",2018 FIFA World Cup Russia,2018,Russia,
767,43934,Austria,AUT,43946,France,FRA,0,1,28 Jun 1982 - 17:15 Local time,Vicente Calderon,Second round - Group 4,1982 FIFA World Cup Spain,1982,Spain,
1752,43911,Mexico,MEX,43935,Belgium,BEL,1,0,11 Jun 1970 - 16:00 Local time,Estadio Azteca,Group matches - Group 1,1970 FIFA World Cup Mexico,1970,Mexico,
789,43924,Brazil,BRA,43978,New Zealand,NZL,4,0,23 Jun 1982 - 21:00 Local time,Benito Villamarin,Group matches - Group 6,1982 FIFA World Cup Spain,1982,Spain,
300331507,43819,Japan,JPN,43962,Poland,POL,,,28 Jun 2018 - 17:00      Local time,Volgograd Arena,"First stage - Group H,",2018 FIFA World Cup Russia,2018,Russia,
1753,44026,Soviet Union,URS,43935,Belgium,BEL,4,1,06 Jun 1970 - 16:00 Local time,Estadio Azteca,Group matches - Group 1,1970 FIFA World Cup Mexico,1970,Mexico,
1883,43954,Italy,ITA,43970,Sweden,SWE,1,0,03 Jun 1970 - 16:00 Local time,Luis Dosal,Group matches - Group 2,1970 FIFA World Cup Mexico,1970,Mexico,
300186507,43854,Côte d'Ivoire,CIV,43819,Japan,JPN,2,1,14 Jun 2014 - 22:00 Local time,Arena Pernambuco,First stage - Group C,2014 FIFA World Cup Brazil,2014,Brazil,
674,43872,Morocco,MAR,43962,Poland,POL,0,0,02 Jun 1986 - 16:00 Local time,Estadio Universitario,Group matches - Group F,1986 FIFA World Cup Mexico,1986,Mexico,
1641,43969,Spain,ESP,43971,Switzerland,SUI,2,1,15 Jul 1966 - 19:30 Local time,Hillsborough,Group matches - Group 2,1966 FIFA World Cup England,1966,England,
300331550,43926,Colombia,COL,43819,Japan,JPN,1,2,19 Jun 2018 - 15:00      Local time,Mordovia Arena,"First stage - Group H,",2018 FIFA World Cup Russia,2018,Russia,
300061462,43968,Slovenia,SVN,43942,England,ENG,0,1,23 Jun 2010 - 16:00 Local time,Port Elizabeth Stadium,First stage - Group C,2010 FIFA World Cup South Africa,2010,South Africa,
2201,43922,Argentina,ARG,43929,Peru,PER,6,0,21 Jun 1978 - 19:15 Local time,Arroyito - Estadio Dr. Lisandro de la Torre,Second round - Group B,1978 FIFA World Cup Argentina,1978,Argentina,
43950048,43962,Poland,POL,43921,USA,USA,3,1,14 Jun 2002 - 20:30 Local time,Daejeon World Cup Stadium,Group matches - Group D,2002 FIFA World Cup Korea,2002,Korea,
2344,43946,France,FRA,43950,Hungary,HUN,3,1,10 Jun 1978 - 15:10 Local time,Estadio José María Minella,Group matches - Group 1,1978 FIFA World Cup Argentina,1978,Argentina,
55,43942,England,ENG,43935,Belgium,BEL,1,0,26 Jun 1990 - 21:00 Local time,Renato Dall Ara,Round of 16,1990 FIFA World Cup Italy,1990,Italy,England win after extra time
8749,43960,Netherlands,NED,43822,Korea Republic,KOR,5,0,20 Jun 1998 - 21:00 Local time,Stade Vélodrome,Group matches - Group E,1998 FIFA World Cup France,1998,France,
1092,43975,Yugoslavia,YUG,43923,Bolivia,BOL,4,0,17 Jul 1930 - 12:45 Local time,Parque Central,Group matches - Group 2,1930 FIFA World Cup Uruguay,1930,Uruguay,
300111117,43960,Netherlands,NED,43819,Japan,JPN,1,0,19 Jun 2010 - 13:30 Local time,Durban Stadium,First stage - Group E,2010 FIFA World Cup South Africa,2010,South Africa,
398,43922,Argentina,ARG,43930,Uruguay,URU,1,0,16 Jun 1986 - 16:00 Local time,Cuauhtemoc,Round of 16,1986 FIFA World Cup Mexico,1986,Mexico,
1207,43930,Uruguay,URU,43969,Spain,ESP,2,2,09 Jul 1950 - 15:00 Local time,Pacaembu,Final round - Group 6,1950 FIFA World Cup Brazil,1950,Brazil,
300186511,43876,Nigeria,NGA,44037,Bosnia and Herzegovina,BIH,1,0,21 Jun 2014 - 18:00 Local time,Arena Pantanal,First stage - Group F,2014 FIFA World Cup Brazil,2014,Brazil,
300331546,43942,England,ENG,43914,Panama,PAN,6,1,24 Jun 2018 - 15:00      Local time,Nizhny Novgorod Stadium,"First stage - Group G,",2018 FIFA World Cup Russia,2018,Russia,
377,43924,Brazil,BRA,43843,Algeria,ALG,1,0,06 Jun 1986 - 12:00 Local time,Jalisco,Group matches - Group D,1986 FIFA World Cup Mexico,1986,Mexico,
300186454,43819,Japan,JPN,43949,Greece,GRE,0,0,19 Jun 2014 - 19:00 Local time,Estadio das Dunas,First stage - Group C,2014 FIFA World Cup Brazil,2014,Brazil,
2217,43934,Austria,AUT,44023,Germany FR,FRG,3,2,21 Jun 1978 - 13:45 Local time,Estadio Olímpico Chateau Carreras,Second round - Group A,1978 FIFA World Cup Argentina,1978,Argentina,
3056,43849,Cameroon,CMR,43970,Sweden,SWE,2,2,19 Jun 1994 - 19:30 Local time,Rose Bowl,Group matches - Group B,1994 FIFA World Cup USA,1994,USA,
300061474,43941,Denmark,DEN,43819,Japan,JPN,1,3,24 Jun 2010 - 20:30 Local time,Royal Bafokeng Stadium,First stage - Group E,2010 FIFA World Cup South Africa,2010,South Africa,
1084,43922,Argentina,ARG,43925,Chile,CHI,3,1,22 Jul 1930 - 14:45 Local time,Estadio Centenario,Group matches - Group 1,1930 FIFA World Cup Uruguay,1930,Uruguay,
43,43934,Austria,AUT,44025,Czechoslovakia,TCH,0,1,15 Jun 1990 - 17:00 Local time,Comunale,Group matches - Group A,1990 FIFA World Cup Italy,1990,Italy,
2352,44023,Germany FR,FRG,43888,Tunisia,TUN,0,0,10 Jun 1978 - 16:45 Local time,Estadio Olímpico Chateau Carreras,Group matches - Group 2,1978 FIFA World Cup Argentina,1978,Argentina,
1987,43890,Zaire,ZAI,43924,Brazil,BRA,0,3,22 Jun 1974 - 16:00 Local time,Parkstadion,Group matches - Group 2,1974 FIFA World Cup Germany,1974,Germany FR,
2186,43975,Yugoslavia,YUG,43890,Zaire,ZAI,9,0,18 Jun 1974 - 19:30 Local time,Parkstadion,Group matches - Group 2,1974 FIFA World Cup Germany,1974,Germany FR,
265,43954,Italy,ITA,43921,USA,USA,1,0,14 Jun 1990 - 21:00 Local time,Stadio Olimpico,Group matches - Group A,1990 FIFA World Cup Italy,1990,Italy,
1315,43930,Uruguay,URU,44025,Czechoslovakia,TCH,2,0,16 Jun 1954 - 18:00 Local time,Wankdorf Stadium,Group matches - Group 3,1954 FIFA World Cup Switzerland,1954,Switzerland,
770,44023,Germany FR,FRG,43934,Austria,AUT,1,0,25 Jun 1982 - 17:15 Local time,El Molinon,Group matches - Group 2,1982 FIFA World Cup Spain,1982,Spain,
300331511,43963,Portugal,POR,43872,Morocco,MAR,1,0,20 Jun 2018 - 15:00      Local time,Luzhniki Stadium,"First stage - Group B,",2018 FIFA World Cup Russia,2018,Russia,
459,43936,Bulgaria,BUL,43954,Italy,ITA,1,1,31 May 1986 - 12:00 Local time,Estadio Azteca,Group matches - Group A,1986 FIFA World Cup Mexico,1986,Mexico,
43950009,43938,Croatia,CRO,43911,Mexico,MEX,0,1,03 Jun 2002 - 15:30 Local time,Niigata Stadium Big Swan,Group matches - Group G,2002 FIFA World Cup Korea,2002,Korea,
