player_id,year,player_name
"55178","1934","Werner Nilsen"
"48337","1938","Alphonse De Winter"
"69639","1938","Andre Vandeweyer"
"46045","1938","Arnold Badjou"
"69642","1938","Artur Ceuleers"
"59711","1938","Bernard Voorhoof"
"59390","1938","Charles Vandewouwer"
"57875","1938","Corneel Seys"
"58516","1938","Emile Stijnen"
"47107","1938","Fernand Buyle"
"69640","1938","Frans Gommers"
"51297","1938","Henri Isemborghs"
"47272","1938","Jean Capelle"
"69643","1938","Jean Fievez"
"56190","1938","Jean Petit"
"59379","1938","John Van Alphen"
"189094","1938","Joseph Nelis"
"69641","1938","Paul Henry"
"58161","1938","Philibert Smellinckx"
"48192","1938","Pierre Dalem"
"46897","1938","Raymond Braine"
"69638","1938","Robert Braet"
"56015","1938","Robert Paverick"
"63833","1938","Afonsinho"
"63839","1938","Argemiro"
"69613","1938","Batatais"
"46908","1938","Brandao"
"198712","1938","Britto"
"63831","1938","Domingos Da Guia"
"50787","1938","Hercules"
"63837","1938","Jau"
"63829","1938","Leonidas"
"53156","1938","Lopes"
"63835","1938","Luisinho"
"63832","1938","Machado"
"63827","1938","Martim"
"69616","1938","Nariz"
"69615","1938","Niginho"
"63825","1938","Patesko"
"56091","1938","Peracio"
"56956","1938","Roberto"
"63836","1938","Romeu"
"63840","1938","Tim"
"63830","1938","Walter Goulart"
"63834","1938","Zeze Procopio"
"47349","1938","Benito Carvajales"
"182315","1938","Carlos Olivera"
"58197","1938","Hector Socorro"
"46243","1938","Jacinto Barquin"
"45776","1938","Joaquin Arias"
"69663","1938","Jose Magrina"
"57020","1938","Jose Rodriguez"
"45458","1938","Juan Alonso"
"45980","1938","Juan Ayra"
"59206","1938","Juan Tunas"
"47723","1938","Manuel Chorens"
"58275","1938","Mario Sosa"
"46490","1938","Pedro Berges"
"49381","1938","Pedro Ferrer"
"49358","1938","Tomas Fernandez"
"174884","1938","Antonin Puc"
"52508","1938","Arnost Kreuz"
"48249","1938","Ferdinand Daucik"
"174865","1938","Frantisek Planicka"
"56890","1938","Jan Riha"
"174424","1938","Jaroslav Boucek"
"47071","1938","Jaroslav Burgr"
"174679","1938","Josef Kostalek"
"53248","1938","Josef Ludl"
"69562","1938","Josef Orth"
"60322","1938","Josef Zeman"
"47079","1938","Karel Burkert"
"61630","1938","Karel Kolsky"
"57827","1938","Karel Senecky"
"58081","1938","Ladislav Simunek"
"174799","1938","Oldrich Nejedly"
