player_id,player_name,year,team
"49087","Herbert Erhardt","1958","Germany FR"
"51718","Erich Juskowiak","1958","Germany FR"
"48845","Horst Eckel","1958","Germany FR"
"59914","Heinz Wewers","1958","Germany FR"
"58681","Horst Szymaniak","1958","Germany FR"
"58465","Georg Stollenwerk","1958","Germany FR"
"44545","Helmut Rahn","1958","Germany FR"
"44747","Fritz Walter","1958","Germany FR"
"57696","Alfred Schmidt","1958","Germany FR"
"57659","Hans Schaefer","1958","Germany FR"
"57776","Uwe Seeler","1958","Germany FR"
"52280","Berni Klodt","1958","Germany FR"
"47780","Hans Ciesclarczyk","1958","Germany FR"
"52012","Alfred Kelbassa","1958","Germany FR"
"58505","Hans Sturm","1958","Germany FR"
"44612","Karl-heinz Schnellinger","1958","Germany FR"
"69927","Rudi Hoffmann","1958","Germany FR"
"69928","Wolfgang Peters","1958","Germany FR"
"182022","Hermann Nuber","1958","Germany FR"
"69899","Gunter Sawitzki","1958","Germany FR"
"52614","Heinz Kwiatkowski","1958","Germany FR"
"174578","Gyula Grosics","1958","Hungary"
"53836","Sandor Matrai","1958","Hungary"
"44643","Ferenc Sipos","1958","Hungary"
"57593","Laszlo Sarosi","1958","Hungary"
"43940","Jozsef Bozsik","1958","Hungary"
"46478","Pal Berendy","1958","Hungary"
"47024","Laszlo Budai","1958","Hungary"
"44689","Lajos Tichy","1958","Hungary"
"174603","Nandor Hidegkuti","1958","Hungary"
"47059","Dezso Bundzsak","1958","Hungary"
"57518","Karoly Sandor","1958","Hungary"
"51904","Bela Karpati","1958","Hungary"
"69963","Oszkar Szigeti","1958","Hungary"
"58671","Ferenc Szojka","1958","Hungary"
"52416","Antal Kotasz","1958","Hungary"
"69964","Laszlo Lachos","1958","Hungary"
"69965","Mihaly Vasas","1958","Hungary"
"54436","Tivadar Monostori","1958","Hungary"
"69966","Zoltan Friedmanszky","1958","Hungary"
"46433","Jozsef Bencsis","1958","Hungary"
"174534","Mate Fenyvesi","1958","Hungary"
"51220","Istvan Ilku","1958","Hungary"
"174456","Antonio Carbajal","1958","Mexico"
"48371","Jesus Del Muro","1958","Mexico"
"57106","Jorge Romo","1958","Mexico"
"59649","Jose Villegas","1958","Mexico"
"56405","Alfonso Portugal","1958","Mexico"
"182127","Francisco Flores","1958","Mexico"
"50811","Alfredo Hernandez","1958","Mexico"
"56796","Salvador Reyes","1958","Mexico"
"182128","Carlos Calderon De La Barca","1958","Mexico"
"50379","Crescencio Gutierrez","1958","Mexico"
"57862","Enrique Sesma","1958","Mexico"
"69962","Manuel Camacho","1958","Mexico"
"69907","Jaime Gomez","1958","Mexico"
"50385","Miguel Gutierrez","1958","Mexico"
"57840","Guillermo Sepulveda","1958","Mexico"
"56980","Jose Roca","1958","Mexico"
"61589","Raul Cardenas","1958","Mexico"
"57381","Jaime Salazar","1958","Mexico"
"46396","Jaime Belmonte","1958","Mexico"
"46665","Carlos Blanco","1958","Mexico"
"53177","Ligorio Lopez","1958","Mexico"
"50106","Carlos Gonzalez","1958","Mexico"
"50227","Harry Gregg","1958","Northern Ireland"
"48117","Willie Cunningham","1958","Northern Ireland"
"53988","Alfred Mcmichael","1958","Northern Ireland"
"174405","Danny Blanchflower","1958","Northern Ireland"
"52007","Richard Keith","1958","Northern Ireland"
"56035","Bertie Peacock","1958","Northern Ireland"
"61582","Billy Bingham","1958","Northern Ireland"
"48131","Wilbur Cush","1958","Northern Ireland"
"58073","Billy Simpson","1958","Northern Ireland"
"53964","Jimmy Mcilroy","1958","Northern Ireland"
"53996","Peter Mcparland","1958","Northern Ireland"
"59274","Norman Uprichard","1958","Northern Ireland"
"47364","Tommy Casey","1958","Northern Ireland"
"57752","Jackie Scott","1958","Northern Ireland"
"69936","Sammy Mccrory","1958","Northern Ireland"
"48701","Derek Dougan","1958","Northern Ireland"
"48039","Fay Coyle","1958","Northern Ireland"
"69937","Roy Rea","1958","Northern Ireland"
"50190","Len Graham","1958","Northern Ireland"
"69938","Sammy Chapman","1958","Northern Ireland"
"69939","Tommy Hamill","1958","Northern Ireland"
"69940","Bobby Trainor","1958","Northern Ireland"
"53893","Ramon Mayeregger","1958","Paraguay"
"45764","Edelmiro Arevalo","1958","Paraguay"
"52992","Juan Vicente Lezcano","1958","Paraguay"
"44955","Ignacio Achucarro","1958","Paraguay"
"59627","Salvador Villalba","1958","Paraguay"
"48837","Eligio Echague","1958","Paraguay"
"45056","Juan Aguero","1958","Paraguay"
"55962","Jose Parodi","1958","Paraguay"
"57103","Jorge Romero","1958","Paraguay"
"45072","Oscar Aguilera","1958","Paraguay"
"45517","Florencio Amarilla","1958","Paraguay"
"174901","Samuel Aguilar","1958","Paraguay"
"49966","Luis Gini","1958","Paraguay"
"69945","Dario Segovia","1958","Paraguay"
"69946","Luis Silva","1958","Paraguay"
"52991","Claudio Lezcano","1958","Paraguay"
"54284","Agustin Miranda","1958","Paraguay"
"69947","Benigno Gilberto Penayo","1958","Paraguay"
"51246","Eliseo Insfran","1958","Paraguay"
"69948","Jose Raul Aveiro","1958","Paraguay"
"61675","Cayetano Re","1958","Paraguay"
"69949","Eligio Antonio Insfran","1958","Paraguay"
"60196","Tommy Younger","1958","Scotland"
"46992","Bill Brown","1958","Scotland"
"55954","Alex Parker","1958","Scotland"
"47184","Eric Caldow","1958","Scotland"
"50860","John Hewie","1958","Scotland"
"69956","Harry Haddock","1958","Scotland"
"53929","Ian Mccoll","1958","Scotland"
"59227","Eddie Turnbull","1958","Scotland"
"182071","Bobby Evans","1958","Scotland"
"48637","Tommy Docherty","1958","Scotland"
"53358","Dave Mackay","1958","Scotland"
"48037","Doug Cowie","1958","Scotland"
"46087","Sammy Baird","1958","Scotland"
"52899","Graham Leggatt","1958","Scotland"
"57750","Alex Scott","1958","Scotland"
"69955","Jimmy Murray","1958","Scotland"
"54653","Jackie Mudie","1958","Scotland"
"69957","John Coyle","1958","Scotland"
"47886","Bobby Collins","1958","Scotland"
"56965","Archie Robertson","1958","Scotland"
"51229","Stuart Imlach","1958","Scotland"
"49361","Willie Fernie","1958","Scotland"
"174638","Lev Yashin","1958","Soviet Union"
"52065","Vladimir Kesarev","1958","Soviet Union"
"52516","Konstantin Krizhevski","1958","Soviet Union"
"182304","Boris Kuznetsov","1958","Soviet Union"
"59698","Juri Voinov","1958","Soviet Union"
"44437","Igor Netto","1958","Soviet Union"
"45721","German Apukthin","1958","Soviet Union"
"182129","Valentin Ivanov","1958","Soviet Union"
"58064","Nikita Simonian","1958","Soviet Union"
"58064","Nikita Simonyan","1958","Soviet Union"
"57439","Sergei Salnikov","1958","Soviet Union"
"174630","Anatoli Ilyin","1958","Soviet Union"
"53782","Vladimir Maslachenko","1958","Soviet Union"
"182130","Vladimir Belyayev","1958","Soviet Union"
"55708","Leonid Ostrovski","1958","Soviet Union"
"53784","Anatoli Maslyonkin","1958","Soviet Union"
"59172","Viktor Tsaryov","1958","Soviet Union"
"51336","Aleksandr Ivanov","1958","Soviet Union"
"47019","Valentin Bubukin","1958","Soviet Union"
"50370","Gennadi Gusarov","1958","Soviet Union"
"69978","Yuri Falin","1958","Soviet Union"
"182131","Genrikh Fedosov","1958","Soviet Union"
"182132","Vladimir Yerokhin","1958","Soviet Union"
"58618","Kalle Svensson","1958","Sweden"
"61580","Orvar Bergmark","1958","Sweden"
"45966","Sven Axbom","1958","Sweden"
"174705","Nils Liedholm","1958","Sweden"
"51590","Ake Johansson","1958","Sweden"
"55959","Sigge Parling","1958","Sweden"
"174591","Kurt Hamrin","1958","Sweden"
"174576","Gunnar Gren","1958","Sweden"
"58070","Agne Simonsson","1958","Sweden"
"44624","Arne Selmonsson","1958","Sweden"
"44644","Lennart Skoglund","1958","Sweden"
"58622","Tore Svensson","1958","Sweden"
"55455","Prawitz Oberg","1958","Sweden"
"174584","Bengt Gustavsson","1958","Sweden"
"46805","Reino Borjesson","1958","Sweden"
"69959","Ingemar Haraldsson","1958","Sweden"
"69960","Olle Hakansson","1958","Sweden"
